59
перчатка: [{'латексный': 22134}, {'смотровой': 21413}, {'хирургический': 20182}, {'нестерильный': 15347}, {'неопудрить': 15047}, {'стерильный': 14411}, {'размер м': 10503}, {'нитриловый': 8992}, {'размер s': 7211}, {'размер l': 6916}, {'опудрить': 6416}, {'медицинский': 4791}, {'текстурированный': 4167}, {'диагностический': 3685}, {'pf': 3186}, {'размер 7': 3117}, {'повышенный': 2831}, {'размер 8': 2694}, {'резиновый': 2677}, {'хлопчатобумажный': 2569}, {'7': 2492}, {'пара': 2419}, {'стереть': 2351}, {'8': 2327}, {'хозяйственный': 2008}, {'анатомический': 1925}, {'малайзия': 1844}, {'прочность': 1786}, {'покрытие': 1784}, {'пвх': 1507}, {'одноразовый': 1472}, {'gammex': 1460}, {'manual': 1410}, {'размер 7,5': 1406}, {'россия': 1273}, {'форма': 1242}, {'dermagrip': 1234}, {'6': 1126}, {'виниловый': 1114}, {'синтетический': 1070}, {'7,5': 952}, {'неопреновый': 940}, {'50': 925}, {'р м': 908}, {'epic': 848}, {'австрия': 842}, {'размер 6': 778}, {'grip': 765}, {'размер 6,5': 741}, {'sfm': 736}, {'9': 727}, {'eco': 709}, {'внутренний': 708}, {'германия': 707}, {'medi': 700}, {'удлинённый': 685}, {'натуральный': 668}, {'1': 645}]
латексный: [{'перчатка': 22125}, {'смотровой': 8494}, {'хирургический': 8842}, {'нестерильный': 6482}, {'неопудрить': 7934}, {'стерильный': 6915}, {'размер м': 3801}, {'нитриловый': 342}, {'размер s': 2636}, {'размер l': 2677}, {'опудрить': 4282}, {'медицинский': 1515}, {'текстурированный': 2144}, {'диагностический': 1180}, {'pf': 960}, {'размер 7': 1348}, {'повышенный': 1327}, {'размер 8': 1168}, {'резиновый': 395}, {'хлопчатобумажный': 392}, {'7': 840}, {'пара': 928}, {'стереть': 945}, {'8': 805}, {'хозяйственный': 575}, {'анатомический': 1001}, {'малайзия': 687}, {'прочность': 996}, {'покрытие': 468}, {'пвх': 5}, {'одноразовый': 422}, {'gammex': 386}, {'manual': 9}, {'размер 7,5': 585}, {'россия': 399}, {'форма': 676}, {'dermagrip': 452}, {'6': 383}, {'виниловый': 5}, {'синтетический': 156}, {'7,5': 296}, {'неопреновый': 38}, {'50': 387}, {'р м': 326}, {'epic': 404}, {'австрия': 259}, {'размер 6': 359}, {'grip': 237}, {'размер 6,5': 336}, {'sfm': 336}, {'9': 264}, {'eco': 319}, {'внутренний': 306}, {'германия': 275}, {'medi': 229}, {'удлинённый': 144}, {'натуральный': 613}, {'1': 242}]
смотровой: [{'перчатка': 20874}, {'латексный': 8276}, {'хирургический': 147}, {'нестерильный': 9323}, {'неопудрить': 6488}, {'стерильный': 2492}, {'размер м': 6143}, {'нитриловый': 5556}, {'размер s': 4535}, {'размер l': 3773}, {'опудрить': 2333}, {'медицинский': 1764}, {'текстурированный': 1711}, {'диагностический': 1144}, {'pf': 559}, {'размер 7': 264}, {'повышенный': 1428}, {'размер 8': 179}, {'резиновый': 29}, {'хлопчатобумажный': 4}, {'7': 720}, {'пара': 905}, {'стереть': 307}, {'8': 625}, {'хозяйственный': 13}, {'анатомический': 75}, {'малайзия': 753}, {'прочность': 925}, {'покрытие': 144}, {'пвх': 35}, {'одноразовый': 355}, {'gammex': 1}, {'manual': 1152}, {'размер 7,5': 43}, {'россия': 284}, {'форма': 62}, {'dermagrip': 970}, {'6': 362}, {'виниловый': 696}, {'синтетический': 482}, {'7,5': 62}, {'неопреновый': 221}, {'50': 384}, {'р м': 563}, {'epic': 207}, {'австрия': 484}, {'размер 6': 102}, {'grip': 11}, {'размер 6,5': 33}, {'sfm': 293}, {'9': 199}, {'eco': 472}, {'внутренний': 107}, {'германия': 187}, {'medi': 1}, {'удлинённый': 312}, {'натуральный': 218}, {'1': 191}]
хирургический: [{'перчатка': 19683}, {'латексный': 8439}, {'смотровой': 152}, {'нестерильный': 2084}, {'неопудрить': 5568}, {'стерильный': 10309}, {'размер м': 571}, {'нитриловый': 368}, {'размер s': 301}, {'размер l': 331}, {'опудрить': 2599}, {'медицинский': 1009}, {'текстурированный': 901}, {'диагностический': 16}, {'pf': 2119}, {'размер 7': 2425}, {'повышенный': 635}, {'размер 8': 2096}, {'резиновый': 218}, {'хлопчатобумажный': 1}, {'7': 1106}, {'пара': 690}, {'стереть': 1832}, {'8': 1050}, {'хозяйственный': 1}, {'анатомический': 1428}, {'малайзия': 589}, {'прочность': 235}, {'покрытие': 654}, {'пвх': 0}, {'одноразовый': 317}, {'gammex': 1303}, {'manual': 18}, {'размер 7,5': 1202}, {'россия': 347}, {'форма': 1084}, {'dermagrip': 14}, {'6': 415}, {'виниловый': 0}, {'синтетический': 367}, {'7,5': 712}, {'неопреновый': 535}, {'50': 167}, {'р м': 34}, {'epic': 527}, {'австрия': 241}, {'размер 6': 536}, {'grip': 626}, {'размер 6,5': 628}, {'sfm': 245}, {'9': 244}, {'eco': 125}, {'внутренний': 475}, {'германия': 243}, {'medi': 606}, {'удлинённый': 169}, {'натуральный': 225}, {'1': 179}]
нестерильный: [{'перчатка': 15437}, {'латексный': 6506}, {'смотровой': 9579}, {'хирургический': 2085}, {'неопудрить': 5499}, {'стерильный': 10}, {'размер м': 4018}, {'нитриловый': 3709}, {'размер s': 3005}, {'размер l': 2574}, {'опудрить': 2145}, {'медицинский': 1369}, {'текстурированный': 1865}, {'диагностический': 1676}, {'pf': 219}, {'размер 7': 474}, {'повышенный': 484}, {'размер 8': 348}, {'резиновый': 105}, {'хлопчатобумажный': 0}, {'7': 787}, {'пара': 767}, {'стереть': 0}, {'8': 711}, {'хозяйственный': 6}, {'анатомический': 478}, {'малайзия': 519}, {'прочность': 437}, {'покрытие': 96}, {'пвх': 30}, {'одноразовый': 428}, {'gammex': 0}, {'manual': 402}, {'размер 7,5': 55}, {'россия': 119}, {'форма': 343}, {'dermagrip': 430}, {'6': 358}, {'виниловый': 447}, {'синтетический': 368}, {'7,5': 68}, {'неопреновый': 129}, {'50': 391}, {'р м': 383}, {'epic': 6}, {'австрия': 184}, {'размер 6': 188}, {'grip': 27}, {'размер 6,5': 32}, {'sfm': 341}, {'9': 242}, {'eco': 361}, {'внутренний': 61}, {'германия': 221}, {'medi': 0}, {'удлинённый': 151}, {'натуральный': 168}, {'1': 155}]
неопудрить: [{'перчатка': 15107}, {'латексный': 7975}, {'смотровой': 6623}, {'хирургический': 5834}, {'нестерильный': 5499}, {'стерильный': 4816}, {'размер м': 2830}, {'нитриловый': 3213}, {'размер s': 2225}, {'размер l': 1861}, {'опудрить': 20}, {'медицинский': 893}, {'текстурированный': 2747}, {'диагностический': 867}, {'pf': 1085}, {'размер 7': 801}, {'повышенный': 657}, {'размер 8': 693}, {'резиновый': 7}, {'хлопчатобумажный': 0}, {'7': 539}, {'пара': 698}, {'стереть': 756}, {'8': 520}, {'хозяйственный': 7}, {'анатомический': 467}, {'малайзия': 468}, {'прочность': 489}, {'покрытие': 371}, {'пвх': 30}, {'одноразовый': 237}, {'gammex': 480}, {'manual': 249}, {'размер 7,5': 448}, {'россия': 155}, {'форма': 327}, {'dermagrip': 312}, {'6': 225}, {'виниловый': 441}, {'синтетический': 393}, {'7,5': 249}, {'неопреновый': 263}, {'50': 326}, {'р м': 286}, {'epic': 241}, {'австрия': 163}, {'размер 6': 179}, {'grip': 118}, {'размер 6,5': 246}, {'sfm': 249}, {'9': 157}, {'eco': 111}, {'внутренний': 248}, {'германия': 177}, {'medi': 108}, {'удлинённый': 125}, {'натуральный': 187}, {'1': 134}]
стерильный: [{'перчатка': 14426}, {'латексный': 6945}, {'смотровой': 2503}, {'хирургический': 10766}, {'нестерильный': 10}, {'неопудрить': 4813}, {'размер м': 1282}, {'нитриловый': 605}, {'размер s': 817}, {'размер l': 726}, {'опудрить': 2364}, {'медицинский': 1104}, {'текстурированный': 780}, {'диагностический': 293}, {'pf': 1077}, {'размер 7': 1630}, {'повышенный': 314}, {'размер 8': 1401}, {'резиновый': 37}, {'хлопчатобумажный': 0}, {'7': 700}, {'пара': 251}, {'стереть': 23}, {'8': 666}, {'хозяйственный': 0}, {'анатомический': 821}, {'малайзия': 355}, {'прочность': 136}, {'покрытие': 213}, {'пвх': 0}, {'одноразовый': 322}, {'gammex': 571}, {'manual': 5}, {'размер 7,5': 836}, {'россия': 458}, {'форма': 688}, {'dermagrip': 20}, {'6': 253}, {'виниловый': 15}, {'синтетический': 243}, {'7,5': 430}, {'неопреновый': 373}, {'50': 87}, {'р м': 102}, {'epic': 516}, {'австрия': 186}, {'размер 6': 392}, {'grip': 374}, {'размер 6,5': 472}, {'sfm': 148}, {'9': 153}, {'eco': 9}, {'внутренний': 78}, {'германия': 174}, {'medi': 364}, {'удлинённый': 176}, {'натуральный': 247}, {'1': 82}]
размер м: [{'перчатка': 10526}, {'латексный': 3808}, {'смотровой': 6304}, {'хирургический': 575}, {'нестерильный': 4006}, {'неопудрить': 2827}, {'стерильный': 1282}, {'нитриловый': 2509}, {'размер s': 645}, {'размер l': 696}, {'опудрить': 1160}, {'медицинский': 849}, {'текстурированный': 934}, {'диагностический': 965}, {'pf': 238}, {'размер 7': 165}, {'повышенный': 642}, {'размер 8': 36}, {'резиновый': 469}, {'хлопчатобумажный': 158}, {'7': 522}, {'пара': 426}, {'стереть': 173}, {'8': 438}, {'хозяйственный': 341}, {'анатомический': 107}, {'малайзия': 341}, {'прочность': 452}, {'покрытие': 91}, {'пвх': 27}, {'одноразовый': 295}, {'gammex': 4}, {'manual': 470}, {'размер 7,5': 36}, {'россия': 157}, {'форма': 42}, {'dermagrip': 338}, {'6': 32}, {'виниловый': 356}, {'синтетический': 200}, {'7,5': 71}, {'неопреновый': 120}, {'50': 181}, {'р м': 0}, {'epic': 116}, {'австрия': 289}, {'размер 6': 3}, {'grip': 15}, {'размер 6,5': 4}, {'sfm': 142}, {'9': 22}, {'eco': 182}, {'внутренний': 70}, {'германия': 120}, {'medi': 0}, {'удлинённый': 160}, {'натуральный': 104}, {'1': 81}]
нитриловый: [{'перчатка': 8684}, {'латексный': 341}, {'смотровой': 5480}, {'хирургический': 369}, {'нестерильный': 3557}, {'неопудрить': 3085}, {'стерильный': 595}, {'размер м': 2433}, {'размер s': 1928}, {'размер l': 1500}, {'опудрить': 216}, {'медицинский': 584}, {'текстурированный': 941}, {'диагностический': 1002}, {'pf': 184}, {'размер 7': 95}, {'повышенный': 643}, {'размер 8': 64}, {'резиновый': 9}, {'хлопчатобумажный': 53}, {'7': 242}, {'пара': 355}, {'стереть': 73}, {'8': 202}, {'хозяйственный': 6}, {'анатомический': 26}, {'малайзия': 217}, {'прочность': 226}, {'покрытие': 340}, {'пвх': 29}, {'одноразовый': 205}, {'gammex': 0}, {'manual': 668}, {'размер 7,5': 27}, {'россия': 57}, {'форма': 23}, {'dermagrip': 92}, {'6': 139}, {'виниловый': 1}, {'синтетический': 232}, {'7,5': 49}, {'неопреновый': 9}, {'50': 173}, {'р м': 222}, {'epic': 6}, {'австрия': 206}, {'размер 6': 34}, {'grip': 5}, {'размер 6,5': 14}, {'sfm': 148}, {'9': 66}, {'eco': 174}, {'внутренний': 98}, {'германия': 79}, {'medi': 0}, {'удлинённый': 290}, {'натуральный': 9}, {'1': 56}]
размер s: [{'перчатка': 7247}, {'латексный': 2646}, {'смотровой': 4685}, {'хирургический': 304}, {'нестерильный': 3006}, {'неопудрить': 2228}, {'стерильный': 818}, {'размер м': 647}, {'нитриловый': 2006}, {'размер l': 488}, {'опудрить': 779}, {'медицинский': 636}, {'текстурированный': 860}, {'диагностический': 755}, {'pf': 172}, {'размер 7': 17}, {'повышенный': 311}, {'размер 8': 4}, {'резиновый': 145}, {'хлопчатобумажный': 42}, {'7': 286}, {'пара': 341}, {'стереть': 103}, {'8': 16}, {'хозяйственный': 98}, {'анатомический': 50}, {'малайзия': 226}, {'прочность': 183}, {'покрытие': 60}, {'пвх': 14}, {'одноразовый': 170}, {'gammex': 3}, {'manual': 341}, {'размер 7,5': 2}, {'россия': 95}, {'форма': 33}, {'dermagrip': 229}, {'6': 334}, {'виниловый': 219}, {'синтетический': 142}, {'7,5': 4}, {'неопреновый': 80}, {'50': 180}, {'р м': 6}, {'epic': 53}, {'австрия': 137}, {'размер 6': 72}, {'grip': 13}, {'размер 6,5': 28}, {'sfm': 109}, {'9': 12}, {'eco': 134}, {'внутренний': 46}, {'германия': 87}, {'medi': 3}, {'удлинённый': 91}, {'натуральный': 71}, {'1': 76}]
размер l: [{'перчатка': 6967}, {'латексный': 2689}, {'смотровой': 3880}, {'хирургический': 332}, {'нестерильный': 2574}, {'неопудрить': 1861}, {'стерильный': 726}, {'размер м': 700}, {'нитриловый': 1558}, {'размер s': 488}, {'опудрить': 793}, {'медицинский': 537}, {'текстурированный': 641}, {'диагностический': 645}, {'pf': 160}, {'размер 7': 5}, {'повышенный': 499}, {'размер 8': 105}, {'резиновый': 491}, {'хлопчатобумажный': 173}, {'7': 24}, {'пара': 305}, {'стереть': 88}, {'8': 295}, {'хозяйственный': 364}, {'анатомический': 64}, {'малайзия': 237}, {'прочность': 390}, {'покрытие': 46}, {'пвх': 16}, {'одноразовый': 169}, {'gammex': 1}, {'manual': 210}, {'размер 7,5': 0}, {'россия': 124}, {'форма': 32}, {'dermagrip': 237}, {'6': 17}, {'виниловый': 215}, {'синтетический': 106}, {'7,5': 9}, {'неопреновый': 67}, {'50': 153}, {'р м': 11}, {'epic': 52}, {'австрия': 118}, {'размер 6': 0}, {'grip': 10}, {'размер 6,5': 0}, {'sfm': 99}, {'9': 222}, {'eco': 102}, {'внутренний': 34}, {'германия': 90}, {'medi': 0}, {'удлинённый': 94}, {'натуральный': 81}, {'1': 48}]
